name;alternate_url;id;from;to;employer_name;schedule;employment;experience;key_skills
Кондитер;https://hh.ru/vacancy/31657400;31657400;34000;40000;Кондитерская Slasty Store;Полный день;Полная занятость;От 1 года до 3 лет;[]
Инженер-программист;https://hh.ru/vacancy/31568007;31568007;69000;69000;Технические Системы и Технологии;Полный день;Полная занятость;От 3 до 6 лет;[]
Personal assistant (персональный ассистент);https://hh.ru/vacancy/31650715;31650715;46000;69000;Singlead;Удаленная работа;Полная занятость;От 1 года до 3 лет;[{'name': 'Английский язык'}, {'name': 'Деловая переписка'}, {'name': 'Пользователь ПК'}]
Эксперт по расчёту;https://hh.ru/vacancy/31410040;31410040;46000;46000;ЛАТ;Полный день;Полная занятость;От 1 года до 3 лет;[]
Middle iOS разработчик;https://hh.ru/vacancy/31262968;31262968;0;185000;Серебренников Александр;Удаленная работа;Полная занятость;От 3 до 6 лет;[]
Автоэлектрик-диагност;https://hh.ru/vacancy/31059263;31059263;57000;57000;Эн-Системс;Полный день;Полная занятость;От 1 года до 3 лет;[]
Бухгалтер в единственном лице;https://hh.ru/vacancy/31536301;31536301;52000;57000;СДЭК-Альянс;Полный день;Полная занятость;От 1 года до 3 лет;[]
Специалист по приему и обработке возвратов (претензий);https://hh.ru/vacancy/31349829;31349829;40000;40000;Катрен НПК;Полный день;Полная занятость;От 1 года до 3 лет;[]
Senior developer .NET/C#;https://hh.ru/vacancy/30422015;30422015;195000;195000;Fortis;Полный день;Полная занятость;От 3 до 6 лет;[{'name': '.NET Framework'}, {'name': 'Entity Framework 6'}, {'name': 'MS SQL'}, {'name': 'ASP.NET MVC 5'}, {'name': '.NET framework 4.6'}, {'name': 'MongoDB'}, {'name': 'c# 7.0'}]
IOS разработчик;https://hh.ru/vacancy/30751648;30751648;126000;126000;KUPIBILET.RU;Полный день;Полная занятость;От 1 года до 3 лет;[{'name': 'IOS SDK'}, {'name': 'Swift'}, {'name': 'Objective-C'}, {'name': 'iOS'}]
Налоговый консультант;https://hh.ru/vacancy/29849729;29849729;34000;34000;Филиал ФКУ Налог-Сервис ФНС России по ЦОД в г.Москве;Полный день;Полная занятость;Нет опыта;[]
Process Engineer in Production Department / Инженер-технолог;https://hh.ru/vacancy/31653434;31653434;75000;75000;P&G Gillette;Полный день;Полная занятость;Нет опыта;[]
Главный инженер-конструктор проекта;https://hh.ru/vacancy/31558750;31558750;115000;115000;Корпорация Оборонные технологии;Полный день;Полная занятость;Более 6 лет;[]
Инженер АСУТП / Cтарший инженер (технология/индустрия);https://hh.ru/vacancy/31642855;31642855;103000;172000;EFIX GROUP;Полный день;Полная занятость;От 3 до 6 лет;[]
Manual QA Engineer / тестировщик;https://hh.ru/vacancy/31479185;31479185;69000;69000;Риал Тайм Технологии;Полный день;Полная занятость;От 1 года до 3 лет;[{'name': 'QA'}, {'name': 'Test case'}, {'name': 'User story'}, {'name': 'Python'}, {'name': 'Git'}]
Программист на производство;https://hh.ru/vacancy/31348754;31348754;80000;80000;СтарЛайн, Научно-производственное объединение;Полный день;Полная занятость;От 1 года до 3 лет;[{'name': 'ERP Systems'}, {'name': 'CRM'}, {'name': 'SQL'}, {'name': 'XML'}]
Кондитер;https://hh.ru/vacancy/31347563;31347563;34000;34000;Шоколадные бутики Baccarat;Полный день;Полная занятость;От 1 года до 3 лет;[]
Инженер по разработке систем программного обеспечения;https://hh.ru/vacancy/31653868;31653868;46000;73000;Корпорация Оборонные технологии;Полный день;Полная занятость;От 1 года до 3 лет;[{'name': 'ГОСТ'}, {'name': 'ЕСКД'}, {'name': 'Компас-3D'}, {'name': 'нормативно-техническая документация'}, {'name': 'Разработка проектной документации'}, {'name': 'Проектно-конструкторская деятельность'}, {'name': 'измерительное оборудование'}]
Экономист по труду и заработной плате;https://hh.ru/vacancy/30819397;30819397;40000;45000;ДОСТАЕВСКИЙ;Полный день;Полная занятость;От 1 года до 3 лет;[]
Ведущий специалист по расчету заработной платы;https://hh.ru/vacancy/30924302;30924302;60000;60000;ДОСТАЕВСКИЙ;Полный день;Полная занятость;От 3 до 6 лет;[]
Backend-разработчик;https://hh.ru/vacancy/31314107;31314107;172000;172000;E-Contenta;Полный день;Полная занятость;От 3 до 6 лет;[{'name': 'Python'}, {'name': 'Linux'}, {'name': 'Git'}, {'name': 'PostgreSQL'}, {'name': 'Django Framework'}, {'name': 'Docker'}, {'name': 'GraphQL'}, {'name': 'ClickHouse'}]
Бухгалтер;https://hh.ru/vacancy/31587277;31587277;34000;57000;Арсенал;Полный день;Полная занятость;От 3 до 6 лет;[{'name': 'Бухгалтерская отчетность'}, {'name': 'Налоговая отчетность'}, {'name': 'Расчет заработной платы'}, {'name': 'Первичная документация'}, {'name': 'Годовой баланс'}, {'name': 'Расчет затрат'}, {'name': 'Локальное налогообложение'}, {'name': 'Российские стандарты бухгалтерского учета'}, {'name': 'Отчетность в ПФР'}, {'name': 'Отчетность в ФСС'}, {'name': 'Отчет о прибылях и убытках'}, {'name': '1С: Предприятие 8'}, {'name': '1C: Бухгалтерия'}]
Бухгалтер;https://hh.ru/vacancy/31588201;31588201;46000;46000;GROST;Полный день;Полная занятость;От 3 до 6 лет;[]
Специалист по сертификации;https://hh.ru/vacancy/31588695;31588695;60000;60000;БИНОВИ;Полный день;Полная занятость;От 1 года до 3 лет;[]
Водитель категории Е;https://hh.ru/vacancy/31653107;31653107;92000;138000;АвтоТрансСервис;Полный день;Полная занятость;От 1 года до 3 лет;[]
Кладовщик;https://hh.ru/vacancy/31588405;31588405;26000;26000;Петрохолод;Полный день;Полная занятость;От 3 до 6 лет;[{'name': '1C'}]
